cva,name,street,city,state and zip
1417,Suburban Terrace Apts,457 Blanchard Terr,Hackensack, NJ 07601
1418,27 Sherman Avenue,27 Sherman Ave,Jersey City, NJ 07307
1419,Scotland Green Apts,2662 Scotland Ct,Mounds View, MN 55112
1420,League at Vrg,2505 NE 2 Ct,Boynton Beach, FL 33435
1421,Aspen Leaf,3501 Stover St,Fort Collins, CO 80525
1422,Ashford East 88 - Bldg A,101 E 88 Ave - Bldg A,Thornton, CO 80229
1423,available,available,open, CO 80229
1424,Harway Terrace,2475 W 16 St,Brooklyn, NY 11214
1425,Harway Terrace,2483 W 16 St,Brooklyn, NY 11214
1426,Gotham - PAYFLEX,510 W 55 St - PAYFLEX,New York, NY 10019
1427,15 Street Cooperative,1907 15 St NW,Washington, DC 20009
1428,Treover A Condominium - 1,5913 Tamar Dr - 1,Columbia, MD 21045
1429,The Greenhouse Apts,519 W Pratt St,Baltimore, MD 21201
1430,Vine Street Apts,101 2 Ave,Des Moines, IA 50309
1431,Shawnee Apts,700 S Courthouse Rd,Arlington, VA 22204
1432,Dominion Arms,333 S Glebe Rd,Arlington, VA 22204
1433,Lasell College - Forest Suites,1844 Commonwealth Ave - Forest Suites,Auburndale, MA 02466
1434,Lasell College - Bldg B,1844 Commonwealth Ave - Bldg B,Auburndale, MA 02466
1435,Lasell College - Bldg C,1844 Commonwealth Ave - Bldg C,Auburndale, MA 02466
1436,204 Star Street,204 Star St,Brooklyn, NY 1123
1437,414 Suydam Street,414 Suydam St,Brooklyn, NY 11237
1438,25 Meserole Street,25 Meserole St,Brooklyn, NY 11206
1439,Franklin Arms - Room E,161 Franklin Corner Rd-Room E,Lawrenceville, NJ 08648
1440,Chestnut Glen,585 Chestnut St,Abington, MA 02351
1441,Palmer St Apts,224 Palmer St,Watertown, NY 13601
1442,Forest Oak Condominium A,4050 Forest Hill Ave,Richmond, VA 23225
1443,Golfview Apts,6500 Saint Joe Rd,Fort Wayne, IN 46835
1444,Riverdale Towers,5600 64 Ave,Riverdale, MD 20737
1449,Treover A Condominium - 2,5913 Tamar Dr,Columbia, MD 21045
1450,Treover A Condominium - 3,5913 Tamar Dr,Columbia, MD 21045
1451,Deborah Gardens,100 Maple St,Garfield, NJ 07026
1452,The Bank Lofts,817 17 St,Denver, CO 80202
1453,The Wellington,1301 S Scott St,Arlington, VA 22204
1454,450 West Briar Place,450 W Briar Pl,Chicago, IL 60657
1455,230 Broadway,230 Broadway,Brooklyn, NY 11211
1456,Dorchester Towers - A,155 W 68 St,New York, NY 10023
1457,Dorchester Towers - B,155 W 68 St,New York, NY 10023
1458,The Dorchester Condos,555 E 10 Ave,Denver, CO 80203
1459,Sands Apts,5445 Jackson Dr,Mounds View, MN 55112
1460,Bristol Gardens,4725 N Martin Luther King Jr Dr,Decatur, IL 62526
1461,Village on the Park,13210 Village Park Dr,Southgate, MI 48195
1462,Oakcrest Towers,2140 Brooks Dr,District Heights, MD 20747
1463,48-54 West 138th Street,45-54 W 138 St,New York, NY 10037
1464,Woodside Apts,900 Woodside Cir,Kissimme, FL 34741
1465,4343 Clarendon Condo Assoc,4343 N Clarendon Ave,Chicago, IL 60613
1466,Courts at Walker Mill,6896 Walker Mill Rd,Capitol Heights, MD 20743
1467,Whispering Hills Apts,612 Bass Ct,Dunedin, FL 34698
1468,Shoreline Community Apts,4455 Confederate Point Rd,Jacksonville, FL 32210
1469,Fox Acres Apts,5038 S Webster St,Kokomo, IN 46902
1470,Phi Gamma Delta,130 E High St,Oxford, OH 45056
1471,Wisconsin House,2712 Wisconsin Ave NW,Washington, DC 20007
1473,Pinnacle Place Apts,919 S Clinton Ave,Rochester, NY 14620
1474,The Park at Salerno - OFFICE,2100 S Conway Rd,Orlando, FL 32812
1475,Village of Mayfield,919 Aintree Park Dr,Mayfield Village, OH 44143
1476,Highcrest Townhomes,3584 W 83 St,Woodridge, IL 60517
1477,123 Bank Street,123 Bank St,New York, NY 10014
1478,771 Saint Johns Place,771 St Johns Pl,Brooklyn, NY 11216
1479,170 Suydam Street,170 Suydam St,Brooklyn, NY 11221
1480,Walker House,18700 Walkers Choice Rd,Gaithersburg, MD 20886
1481,Horizon House,1300 Army Navy Dr,Arlington, VA 22202
1482,Remington Place Apts,2600 Brinkley Rd,Fort Washington, MD 20744
1483,Remington Place Apts,2602 Brinkley Rd,Fort Washington, MD 20744
1484,River House II,1400 S Joyce St,Arlington, VA 22202
1485,Seven Springs Village,9308 Cherry Hill Rd,College Park, MD 20740
1486,River House I,1111 Army Navy Dr,Arlington, VA 22202
1487,River House III,1600 S Joyce St,Arlington, VA 22202
1488,Seven Springs Village,9314 Cherry Hill Rd,College Park, MD 20740
1489,Broad Falls Apts,809 W Broad St,Falls Church, VA 22046
